"dcAccrualPeriodicity","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightslicense","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 46"
"","Àrea de Drets Socials","","Barcelona","2015","","2015-09-29","2015","Presentada al Plenari del Consell Municipal de 29-09- 2015","","","application/pdf","18 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/83952","cat","","","","","","","http://hdl.handle.net/11703/98444","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Asil, Dret d'. Emigració i immigració. Refugiats. Trasllats de població","Demografia","mesures de govern. plans estratègics","Barcelona Ciutat Refugi","Barcelona, ciutat refugi :  mesura de govern","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports. Districte 6. Gràcia","","Barcelona. Districte 6. Gràcia","","","2012-04-24","2012","Presentada al Consell Plenari del Districte de Gràcia de 24-04-2012","","","application/pdf","7 p.","18179","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/84806","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Festes majors. Supressió de barreres arquitectòniques. Espais públics","Societat i benestar","mesures de govern","","Per una Festa Major de Gràcia més solidària i més accessible : mesura de govern","","text",""
"","Àrea d'Empresa, Cultura i Innovació. Regidoria de Comerç i Mercats","","Barcelona","","","2017-01-12","2017","Presentada a la Comissió de Govern de 12-01-2017. Citada a la Gaseta Municipal de Barcelona, núm. 6 (208-02-2017), p. 1383-1388","","","application/pdf","6 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/100955","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Comerç. Seguretat ciutadana","Comerç","mesures de govern","","Protocol d'actuació per implementar mesures de suport extraordinari al comerç de proximitat d'una zona en cas d'alteracions de l'ordre públic : mesura de govern","","text",""
"","Àrea de Prevenció, Seguretat i Mobilitat","","Barcelona","","","2011-02-04","2011","Presentada al Plenari del Consell Municipal de 04-02-2011. Citada a la Gaseta Municipal núm. 8 (10-03-2011)","","","application/pdf","12 p.","10356","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84588","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Qualitat total en l'educació. Escoles. Accidents escolars","Educació","mesures de govern","","Circuit de resposta a les demandes d'intervenció de les comunitats educatives i el seu entorn de matèria de prevenció i seguretat : mesura de govern","","text",""
"","Àrea d'Economia, Empresa i Ocupació","","Barcelona","","","2012-06-29","2012","Presentada al Plenari del Consell Municipal de 29-06-2012. Citada a la Gaseta Municipal núm. 23 (10-09-2012)","","","application/pdf","13 p.","9902","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84694","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona Activa, S.A.. Economia. Ocupació","Ocupació","mesures de govern","","L'organització d'Economia, Empresa i Ocupació i la nova Barcelona Activa : mesura de govern","","text",""
"","Àrea de Cultura, Coneixement, Creativitat i Innovació","","Barcelona","","","2014-06-17","2014","Presentada a la Comissió de Cultura, Coneixement, Creativitat i Innovació de 17-06-2014","","","application/pdf","11 p.","13835","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/42956","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cultura","Cultura i oci","mesures de govern","","Barcelona Dades Cultura, el nou portal de dades de cultura de la ciutat : mesura de govern","","text",""
"","Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Poblenou (Barcelona : Barri)","2000. 2001. 2002","","2001-02-16","2001","Presentada al Plenari del Consell Municipal de 16-02-2001. Citada a la Gaseta Municipal núm. 13 (30-04-2001), p. 712","","","application/pdf","11 p.","13487","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/84510","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ordenació del territori. Rehabilitació urbana. Infraestructures urbanes. 22@bcn (Projecte)","Urbanisme i infraestructures","mesures de govern","Pla Especial de Reforma Interior del Sector del Campus Audiovisual de la MPGM per a la Renovació de les Àrees Industrials del Poblenou 2001. Pla Especial de Reforma Interior del Sector Eix Llacuna de la MPGM per a la Renovació de les Àrees Industrials del Poblenou 2002. Pla Especial de Reforma Interior del Sector Parc Central de la MPGM per a la Renovació de les Àrees Industrials del Poblenou 2001. Pla Especial de Reforma Interior del Sector Perú-Pere IV de la MPGM per a la Renovació de les Àrees Industrials del Poblenou","Àmbits de desenvolupament del 22@ : mesura de govern","","text",""
"","Àrea d'Economia, Empresa i Ocupació","","Barcelona","","","2012-12-21","2012","Presentada al Plenari del Consell Municipal de 21-12-2012","","","application/pdf","5 p.","10790","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84695","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Impostos de plusvàlua. Impostos immobiliaris. Execució hipotecària","Sector públic","mesures de govern","","Mesura de govern relativa a l'impost sobre l'increment de valor dels terrenys de naturalesa urbana en els casos de dació en pagament i execucions hipotecàries i la seva compensació mitjançant un ajut social","","text",""
"","Districte 1. Ciutat Vella","","Barcelona. Districte 1. Ciutat Vella","2016. 2017. 2018. 2019. 2020. 2021","","2016-07-25","2016","Presentada al Consell Plenari del Districte de Ciutat Vella de 25-07-2016. Podeu consultar el Pla de Desenvolupament Econòmic Ciutat Vella 2016-2021 a: http://hdl.handle.net/11703/97961","","","application/pdf","13 p.","","","","districtes","","Mandat 2015-","http://hdl.handle.net/11703/108062","cat","","http://hdl.handle.net/11703/97961","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Districte 1. Ciutat Vella. Política laboral. Política econòmica. Política social. Comerç. Turisme urbà","Economia","mesures de govern. plans estratègics","Pla de Desenvolupament Econòmic Ciutat Vella 2016-2021 (Barcelona)","Pla de Desenvolupament Econòmic Ciutat Vella 2016-2021 : mesura de govern","","text",""
"","Àrea d'Ecologia, Urbanisme i Mobilitat. Districte 1. Ciutat Vella","","Barcelona. Districte 1. Ciutat Vella. Sant Ramon, Carrer de (Barcelona). Robador, Carrer (Barcelona)","2014","","2015-12-10","2015","Presentada al Consell Plenari del Districte de Ciutat Vella de 10-12-2015. L'Àrea de Conservació i Rehabilitació és un instrument tècnic i jurídic previst per la Llei del Dret a l'Habitatge. La delimitació dels carrers Robador, Sant Ramon i Espalter com la primera àrea d'aquest tipus que s'impulsa a Catalunya està justificada per un conjunt de problemàtiques socials específiques que, en aquesta zona, es donen en grau superior a la mitjana del barri.. Declaració inicial de l'Àrea de Conservació i Rehabilitació aprovada el 09-11-2011 i citada a la Gaseta Municipal de Barcelona, núm. 30 (20-11-2011)","","","application/pdf","8 p.","","","","districtes","","Mandat 2015-","http://hdl.handle.net/11703/86367","cat","","","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Rehabilitació urbana","Urbanisme i infraestructures","mesures de govern. documents digitalitzats","Pla Dintres Ciutat Vella 2014 (Barcelona)","Ampliació de les finques subjectes al dret de tanteig i retracte incloses a l'Àrea de Conservació i Rehabilitació dels carrers d'en Robador i Sant Ramon : mesura de govern","","text",""
"","Àrea d'Urbanisme, Infraestructures, Habitatge, Medi Ambient i Sistemes d'Informació i Telecomunicacions. Districte 4. Les Corts","","Maternitat i Sant Ramon (Barcelona : Barri). Barcelona. Districte 4. Les Corts","2014. 2015","","2014-06-06","2014","Presentada al Consell Plenari del Districte de les Corts de 06-06-2014","","","application/pdf","22 p.","13656","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/83981","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Zones de vianants","Urbanisme i infraestructures","mesures de govern","Programa d'Impuls de Superilles Pilot a Barcelona 2014-","Barris inclusius, barris sostenibles a velocitat humana : superilla pilot al barri de la Maternitat i Sant Ramon : mesura de govern","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports. Comissió de Qualitat de Vida, Igualtat, Joventut i Esports","","Barcelona","","","2013-11-19","2013","Presentada a la Comissió de Qualitat de Vida, Igualtat, Joventut i Esports de 19-11-2013. Citada a la Gaseta Municipal núm. 1 (10-01-2014), p. 132-133","","","application/pdf","18 p.","12526","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84775","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Empreses. Inversions","Economia. Societat i benestar","mesures de govern","","Mesura de govern sobre el retorn social a la inversió (SROI) : un mètode innovador d'avaluació d'impacte","","text",""
"","Sector de Serveis Personals. Regidoria de Presidencia i Política Cultural","","Barcelona","","","1996-12-20","1996","Presentada al Plenari del Consell Municipal de 20-12-1996","","","application/pdf","2 p.","11285","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84461","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Biblioteca Clarà (Barcelona). Equipaments culturals","Cultura i oci","mesures de govern","","Instal·lació d'una biblioteca pública a l'edifici del Museu Clarà, amb una secció especialitzada en escultura i específicament en l'obra de l'escultor Josep Clarà : mesura de govern","","text",""
"","Àrea de Prevenció, Seguretat i Mobilitat","","Barcelona","","","2009-01-30","2009","Presentada al Plenari del Consell Municipal de 30-01-2009. Citada a la Gaseta Municipal núm. 9 (20-03-2009)","","","application/pdf","18 p.","13542","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84633","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Urbanisme. Zoo de Barcelona","Urbanisme i infraestructures","mesures de govern","","Mesura de govern sobre el desenvolupament del nou model zoològic per a la ciutat de Barcelona","","text",""
"","Direcció d'Espais Verds i Biodiversitat. Àrea d'Hàbitat Urbà","","Barcelona","2014. 2015. 2016. 2017. 2018. 2019","","2014-04-30","2014","Presentada a la Comissió d'Hàbitat Urbà i Medi Ambient de 30-04-2014. Citada a la Gaseta Municipal núm. 21 (10-07-2014)","","","application/pdf","21 p.","17586","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84779","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Parcs infantils","Urbanisme i infraestructures","mesures de govern. plans estratègics","Pla de Racons Infantils 2014-2019 (Barcelona)","Pla de Racons Infantils 2014-2019 : Actuacions preliminars 2014-2015 : mesura de govern","","text",""
"","Àrea d'Hàbitat Urbà","","Barcelona","","","2012-06-29","2012","Presentada al Plenari del Consell Municipal de 29-06-2012. Citada a la Gaseta Municipal núm. 23 (10-09-2012)","","","application/pdf","20 p.","10789","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84708","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Urbanisme. Rehabilitació urbana","Urbanisme i infraestructures","mesures de govern","","Obres, manteniment i actuacions de millora durant l'estiu 2012 : mesura de govern","","text",""
"","Sector de Manteniment i Serveis","","Barcelona","","","2000-09-21","2000","Presentada al Plenari del Consell Municipal de 21-09-2000. Citada a la Gaseta Municipal núm. 34 (20-12-2000)","Digitalitzada pel SEDAC","","application/pdf","3 p.","11405","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/86229","cat","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Circulació","Transport","mesures de govern. documents digitalitzats","","Celebració a la ciutat de Barcelona del dia europeu sense cotxes : mesura de govern","","text",""
"","Sector de Serveis Personals","","Barcelona","2005","","2003-09-19","2003","Presentada al Plenari del Consell Municipal de 19-09-2003. Citada a la Gaseta Municipal núm. 31 (20-11-2003), p. 1525-1526","","","application/pdf","3 p.","13441","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84531","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cultura catalana. Llibres i lectura","Cultura i oci","mesures de govern","","Any temàtic del llibre i de la lectura 2005 : mesura de govern","","text",""
"","Sector de Via Pública","","Barcelona","","","2002-09-27","2002","Presentada al Plenari del Consell Municipal de 27-09-2002. Citada a la Gaseta Municipal núm. 30 (20-11-2002)","","","application/pdf","5 p.","13149","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/84520","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Circulació urbana. Desenvolupament sostenible. Política de transports","Transport","mesures de govern","","Setmana de la mobilitat, setembre 2002 : mesura de govern","","text",""
